N,P,K,S,Fe,Zn,temperature,ph,rainfall,label
4,40,32,40,109,64,27.13827885,6.136789344,90.90426169,mango
32,137,196,31,31,27,29.47702475,7.044844558,74.5876392,grapes
37,136,200,52,69,38,19.89418724,7.116019097,106.9070273,apple
33,5,20,39,10,9,27.6675346,7.878066521,103.153054,orange
137,42,34,3,97,21,22.18000476,8.636154936,71.26425452,cotton
95,30,30,23,56,4,26.80113147,7.634459303,94.55541474,coffee
111,36,45,18,2,1,20.42136644,6.628942186,164.3509869,rice
99,62,22,27,63,31,24.17937444,6.589448996,71.10624747,maize
46,60,81,6,6,22,21.6430226,8.859446002,74.68007294,chickpea
3,68,17,6,12,66,20.92973996,7.407639835,38.90714653,lentil
5,7,30,23,4,4,20.96636966,7.678398456,108.9254335,pomegranate
92,63,51,25,61,20,29.59120597,7.292402794,106.1335921,banana
36,39,37,51,54,76,30.35128088,7.995056919,89.79599478,mango
15,139,195,28,35,37,34.32668863,7.262145331,73.89478659,grapes
4,131,203,41,77,27,23.99111982,6.578182293,106.5527344,apple
19,5,14,47,11,15,29.51117716,6.979110894,100.9535073,orange
116,40,34,3,100,22,25.35786164,8.543006264,73.95104864,cotton
104,30,35,60,58,70,27.70957195,5.87214882,145.7170868,coffee
73,48,33,18,9,48,28.29987899,7.829587639,146.9195611,rice
66,58,22,22,83,31,26.66354603,6.206485184,87.89017219,maize
63,55,81,8,12,44,16.87371086,5.964830425,88.83545188,chickpea
3,81,26,9,8,46,25.63101031,8.494857896,51.14624505,lentil
2,8,34,18,2,2,21.47414164,7.80326665,109.0380894,pomegranate
125,63,47,39,65,20,32.2218747,7.127616905,110.9173772,banana
27,22,45,46,15,61,27.47630307,7.386290195,100.263947,mango
20,139,200,41,38,43,25.10398257,5.755284027,71.66281921,grapes
6,121,201,35,77,5,23.79540726,7.496497926,110.6725514,apple
5,13,6,45,7,10,25.36482855,8.097946714,110.2161966,orange
116,48,19,4,69,39,24.54688546,6.262572631,84.05860602,cotton
80,20,16,11,76,42,23.40089501,7.119660368,93.93773981,coffee
87,18,24,19,7,7,21.86105208,6.283705167,185.2038615,rice
64,52,22,20,40,34,27.11067834,7.168789769,95.16830243,maize
56,66,82,8,9,38,19.91534894,8.713442792,65.57839208,chickpea
5,68,24,12,15,63,26.15553227,7.564224096,37.60469033,lentil
74,29,32,30,4,3,20.73966419,6.928857333,111.6193564,pomegranate
99,80,53,42,50,18,29.00733848,7.572813641,117.1718125,banana
5,19,34,58,59,62,31.24498681,6.985734989,96.12770445,mango
30,136,205,36,40,34,28.49486871,7.49346745,68.92527345,grapes
11,135,205,40,90,48,22.00049858,7.387262034,99.34265069,apple
16,25,21,32,13,13,23.6474704,8.556130234,112.4844523,orange
118,43,19,3,111,29,22.47257109,8.505545458,94.55151425,cotton
33,21,32,12,4,68,25.06920718,6.400416025,143.989347,coffee
70,38,21,23,73,32,30.41081244,8.844981282,75.90387655,rice
90,59,23,25,51,26,23.03940341,6.153104138,179.193554,maize
59,75,84,7,6,22,17.15615299,8.443450983,64.6722904,chickpea
20,59,20,7,15,61,20.34576656,7.204905591,46.06119402,lentil
38,16,47,29,4,3,19.97790388,7.291051966,111.8785054,pomegranate
112,89,49,35,51,16,30.39310911,7.2736942,113.4385631,banana
82,26,31,44,47,2,34.35188641,7.993861764,138.2778955,mango
35,145,198,31,38,36,28.84500166,6.745126477,73.68591108,grapes
27,138,200,42,143,32,24.30474043,7.033647784,121.8372502,apple
30,5,16,43,15,13,17.41479598,7.090791541,108.635335,orange
137,42,16,7,116,26,25.81933486,7.793149411,75.41070232,cotton
20,26,30,57,2,4,27.16324945,5.261538162,100.3318241,coffee
81,38,47,17,2,1,20.69810337,6.264306434,174.6974297,rice
91,59,21,28,87,23,23.40969017,8.343736974,68.96147737,maize
46,77,85,12,11,24,18.84145002,8.353639995,71.87781262,chickpea
38,25,28,9,12,61,28.06755475,7.308147895,48.61733191,lentil
7,6,29,22,4,6,23.96668896,8.395833411,115.9948958,pomegranate
93,82,37,43,56,15,28.75926446,6.611895689,116.4312783,banana
23,53,15,49,55,28,22.35840053,6.908440124,100.0167587,mango
21,136,204,44,32,46,33.17228287,6.481812155,73.42561495,grapes
20,145,201,35,50,30,23.56881774,6.911145603,122.115951,apple
15,16,41,32,14,14,29.58587661,7.265906825,96.14528617,orange
127,54,19,47,113,21,24.62433351,7.048917044,68.20629803,cotton
59,31,32,27,6,6,23.03263202,8.094509361,102.7239825,coffee
76,24,40,23,11,5,22.39105803,7.423897797,211.3732987,rice
97,48,24,22,55,1,23.53641565,6.215434558,114.7444047,maize
32,71,81,7,11,37,18.33742556,8.643123971,67.99874408,chickpea
87,55,26,8,8,45,22.34866719,6.081390302,42.32663188,lentil
15,14,39,28,5,4,21.0757483,7.362396445,111.3618147,pomegranate
94,85,56,31,52,15,24.49477355,6.673669699,114.2651059,banana
31,90,23,53,56,75,34.33691094,7.093918789,96.01779034,mango
20,139,197,37,38,36,28.81027298,6.609294881,70.98271937,grapes
7,142,199,41,72,33,24.32895262,6.147402102,113.1433781,apple
19,6,8,31,8,14,28.67141524,8.121535175,112.1731567,orange
116,35,21,3,83,13,22.97910589,7.436931478,74.45051163,cotton
93,15,18,21,59,47,29.97496683,6.138759693,152.8257586,coffee
97,39,37,22,1,1,21.2874285,6.200919358,233.0080643,rice
91,39,22,22,115,22,23.22577112,7.343714718,72.91408764,maize
54,79,81,13,5,40,18.68587052,7.079763984,76.80442292,chickpea
38,80,20,9,8,54,28.02950268,8.679331243,39.08314602,lentil
19,11,41,22,5,5,20.48022179,6.264405855,99.19991257,pomegranate
100,97,54,19,60,16,27.4983274,6.415003677,109.1384718,banana
25,42,24,52,46,70,30.37782564,6.429723052,85.04026998,mango
18,145,204,45,35,50,31.9039671,7.335229046,68.07530167,grapes
31,126,205,52,50,45,23.27954584,6.578529122,294.4587789,apple
2,5,15,47,5,15,32.21089972,6.472995276,114.8343765,orange
98,40,16,3,106,32,23.45318041,7.024993789,85.11145371,cotton
6,38,35,46,6,69,27.74667684,8.16712989,99.94525011,coffee
96,25,20,21,4,2,23.92666115,6.189104287,116.3858273,rice
77,48,23,22,74,31,21.12463711,8.091333708,69.2192754,maize
48,57,82,12,5,37,19.54475008,6.055627032,67.52177716,chickpea
10,70,23,11,7,53,22.975987,7.633591652,36.2718496,lentil
29,25,47,19,3,4,25.03445,6.208238096,97.81952416,pomegranate
89,95,53,40,67,14,27.56797012,5.623261303,203.6978756,banana
36,33,38,48,53,77,31.95354953,7.168253213,85.40515352,mango
7,126,200,45,49,50,23.22702204,6.774824892,62.91130382,grapes
16,126,203,49,123,28,24.04868364,7.35724258,76.80619446,apple
5,16,13,33,11,22,21.89125103,7.335359101,67.34977995,orange
128,50,23,2,87,47,24.4346391,6.51886457,66.16649827,cotton
96,31,36,18,5,5,24.25657389,5.941387258,199.6253038,coffee
24,52,27,48,7,3,27.24427252,7.819108171,184.5846013,rice
101,59,22,27,69,33,24.68296634,6.328180513,83.56837408,maize
60,77,81,10,9,22,17.82053669,6.116353094,70.65770268,chickpea
25,83,23,9,8,38,28.40069477,7.947834561,50.69937632,lentil
7,21,30,23,3,5,22.23142188,6.215271712,103.8150514,pomegranate
111,69,54,43,57,13,25.95385754,7.53476932,123.2147613,banana
6,33,27,43,61,14,33.03414625,5.787580912,93.3909846,mango
6,138,200,42,36,35,22.99822344,7.051829903,67.39313093,grapes
22,144,204,30,71,28,25.82848396,6.810847977,113.4554112,apple
25,12,12,41,15,14,26.23494685,7.22665882,98.00274725,orange
109,51,32,1,99,26,23.56191742,6.620891699,85.21546699,cotton
90,29,31,60,7,4,27.72715102,7.331187696,195.4764091,coffee
109,17,32,20,1,1,25.60895057,6.586261896,222.4127599,rice
95,35,25,23,78,3,27.01829597,5.58077358,93.39472779,maize
61,54,78,9,11,33,18.15900329,8.837980807,63.8006078,chickpea
26,56,27,8,13,61,26.07458469,7.155038383,46.73215864,lentil
16,10,43,20,9,7,17.30355989,7.137475873,106.0881691,pomegranate
98,76,53,19,55,11,25.25491104,6.15835593,116.5677607,banana
12,40,31,58,54,69,33.1732995,4.77660509,102.488947,mango
37,143,203,50,50,27,27.03122665,6.734893721,73.7562742,grapes
31,142,203,32,71,48,22.60251653,6.657554844,113.46002,apple
22,8,13,30,14,16,24.49883004,5.683521435,117.5131399,orange
89,46,31,2,86,41,25.43536343,7.816490431,69.13084403,cotton
31,21,39,60,60,75,31.29289172,5.845515867,193.3070568,coffee
82,42,38,44,52,2,27.78289549,7.521216308,185.1767807,rice
91,45,38,32,74,26,20.22407681,7.44966573,88.83516165,maize
42,52,85,13,9,29,17.01521498,7.380389562,82.40648553,chickpea
37,73,17,9,9,59,21.27610773,7.303834538,43.1879811,lentil
9,25,44,21,2,6,22.70477255,5.760100387,130.3914434,pomegranate
115,77,27,44,43,20,30.19295043,7.025690322,95.27302874,banana
83,35,29,55,68,79,37.30293792,6.006380234,95.9706492,mango
6,128,192,38,37,36,24.79916077,7.126085429,73.51719027,grapes
24,132,22,8,106,33,24.94317484,7.112989074,119.7570245,apple
15,7,15,47,10,32,20.44047892,6.158295793,100.2463155,orange
113,41,18,1,76,25,23.87681993,5.907680895,68.80545077,cotton
82,37,39,20,1,4,21.54841524,8.132763644,200.7237068,coffee
103,80,47,21,59,11,26.67950379,7.045361553,271.5499916,rice
96,32,32,26,55,53,26.18669021,6.275824624,103.8999135,maize
56,59,81,13,11,31,18.73088056,8.660609851,66.11401316,chickpea
25,80,20,10,13,63,26.9920657,6.96048798,53.82103722,lentil
5,13,33,20,5,5,20.56425128,7.474803286,264.1105986,pomegranate
104,89,41,28,63,14,31.19836386,7.380852556,119.8611075,banana
19,27,36,57,59,73,29.32985408,7.439152918,89.87120901,mango
14,139,203,35,36,35,18.63515239,7.372956923,61.10373746,grapes
10,140,200,41,34,25,25.30818121,5.751668416,115.5193096,apple
4,20,10,31,11,8,13.38135367,7.097429966,112.6238902,orange
108,44,19,4,87,31,26.03154479,5.994654684,74.07337002,cotton
82,46,35,26,3,1,21.8145104,7.006160176,211.1427017,coffee
65,23,42,24,8,4,22.38308607,8.540496157,299.5225512,rice
95,44,18,22,76,34,23.1649622,6.07171228,80.39981073,maize
36,69,83,10,10,31,17.96821632,6.606144153,66.24181146,chickpea
89,57,30,5,13,47,27.48672341,6.04352381,42.20513487,lentil
90,9,40,23,10,3,21.41984864,6.77206962,115.1899391,pomegranate
101,71,45,46,59,15,28.68805185,7.381995277,110.4085996,banana
12,31,20,53,56,77,34.83330983,5.819321177,86.87921468,mango
30,131,200,41,48,47,34.15607165,5.982449988,70.61021773,grapes
4,128,204,41,81,29,25.19650018,7.171122951,106.1393878,apple
3,6,6,31,12,14,8.83838122,8.391351628,113.9181049,orange
134,44,18,9,104,28,21.09926541,8.592746381,74.38867095,cotton
78,32,21,22,15,2,22.12623651,5.915518179,195.2684866,coffee
91,58,38,23,4,4,23.4454658,6.729725775,299.5225512,rice
87,44,21,21,74,34,23.67217043,6.27733084,69.38488419,maize
54,58,83,13,13,48,19.11537725,8.93598983,67.23282582,chickpea
41,73,22,13,14,35,24.6733902,9.084140787,51.9431675,lentil
19,17,38,21,6,9,23.47194521,8.163318833,104.528125,pomegranate
98,77,46,31,61,13,20.80866135,7.303174652,117.4639004,banana
13,26,25,43,49,49,25.24493179,6.186738682,94.44320259,mango
6,132,196,36,41,34,22.0837414,6.982635558,71.11723649,grapes
16,128,197,43,107,42,22.88507515,7.291933333,111.6999904,apple
28,16,12,47,10,5,20.7443049,6.014476174,106.1723716,orange
98,54,25,16,88,28,24.16907741,6.47183122,71.3052043,cotton
98,32,25,24,2,4,24.80388374,6.984240221,147.5713048,coffee
89,52,19,24,58,3,26.46811381,6.235686528,164.1720676,rice
89,42,26,21,4,4,26.37944384,5.966856751,197.2394068,maize
60,57,79,11,14,38,20.5278881,6.210836742,67.39808929,chickpea
39,83,22,12,7,44,20.83656067,7.861105568,42.89560334,lentil
93,33,33,20,3,1,23.71591688,6.255203566,102.399236,pomegranate
112,84,53,44,80,14,26.12739857,6.962548181,112.642009,banana
9,29,34,57,65,63,34.85542591,4.830454717,89.15806394,mango
7,133,195,33,48,45,18.69413002,6.231507349,78.44949133,grapes
18,143,199,50,82,37,25.8735729,6.242283654,101.4523551,apple
25,14,7,38,9,7,29.32058544,7.326051456,112.0373185,orange
131,41,17,6,118,37,25.46664267,7.482635566,67.63060001,cotton
100,87,28,9,4,2,21.80049077,7.87527833,51.66757027,coffee
50,33,37,18,5,8,26.73874843,7.474680243,95.4764506,rice
65,38,21,21,105,4,24.07943036,5.87411965,97.06278029,maize
54,60,80,9,4,34,17.39493044,6.065030719,88.81931373,chickpea
34,66,19,12,14,71,27.40232895,7.443007793,42.82616583,lentil
38,30,42,21,3,3,21.5827479,7.725819285,109.6221066,pomegranate
111,80,50,42,59,19,30.99306631,7.67834928,117.9014729,banana
35,34,33,50,61,50,30.86566963,5.754789783,95.9551924,mango
21,140,200,38,38,38,18.04202649,5.804806068,77.06162728,grapes
117,29,201,32,4,2,23.16350386,5.898252351,179.0786847,apple
4,24,22,32,10,8,21.34420904,7.134816588,93.65035737,orange
118,55,18,9,111,25,23.73677391,6.809888549,88.17677533,cotton
98,35,19,26,47,3,30.43130276,6.431314682,111.3299235,coffee
85,17,26,40,5,35,21.06406054,6.408950764,71.34698403,rice
82,63,19,32,66,4,23.13903924,6.354816724,142.1193834,maize
40,67,84,12,10,42,18.0595503,8.750086986,66.32056485,chickpea
8,76,20,12,15,59,29.73463896,7.042954098,54.3762759,lentil
7,26,26,18,3,7,19.48828564,5.83175776,99.43716398,pomegranate
96,75,53,43,62,13,30.62404124,6.761791963,110.7632735,banana
26,49,14,60,46,79,30.72147664,7.043882804,98.48178482,mango
116,139,43,43,38,30,24.26526197,7.175008582,66.80375463,grapes
15,129,202,35,71,63,21.60491727,7.376278132,114.7083742,apple
85,12,24,33,11,4,20.7914254,8.702727028,97.94213824,orange
116,48,18,3,100,43,22.7918697,8.930913277,82.95005569,cotton
0,19,28,59,66,69,30.7600878,7.101728391,98.85092441,coffee
92,21,32,18,6,4,25.62340903,6.000929384,208.195928,rice
93,38,26,26,78,2,24.8148907,6.24670949,202.9837561,maize
17,61,84,10,11,42,18.077352,6.391763156,64.71950643,chickpea
7,68,19,12,9,46,26.21497876,6.993445821,35.47555902,lentil
3,12,41,25,1,4,21.7287312,7.063713509,106.4947854,pomegranate
111,83,36,29,66,21,30.97861228,6.612342828,98.63305141,banana
3,40,27,51,54,77,27.50971463,7.716297676,90.63667116,mango
25,144,196,33,55,36,23.49871223,6.647862051,71.15471051,grapes
23,120,202,43,82,49,22.50683525,7.100112483,122.3540074,apple
14,24,15,42,13,15,10.06476605,7.089155907,104.7136864,orange
109,33,29,2,94,21,26.34778858,6.639620375,65.84955352,cotton
74,82,39,34,12,14,27.76056723,7.037884037,196.035177,coffee
100,34,47,20,3,3,21.86674585,8.09636339,193.4756657,rice
85,41,25,24,68,2,24.51235855,8.089192022,196.4741147,maize
68,60,84,12,11,25,20.39044439,8.63242575,76.30512609,chickpea
38,59,19,9,14,61,23.64529061,7.485820883,45.16973963,lentil
30,8,36,25,3,6,19.68088956,9.055753895,106.6826956,pomegranate
97,75,47,26,71,19,24.65120816,6.278498172,117.9845822,banana
37,39,35,51,49,66,29.97630976,6.892488512,87.13336532,mango
27,143,197,30,48,36,26.13208999,6.951495791,68.99079292,grapes
27,126,202,44,55,30,23.40023572,6.774360931,123.8071719,apple
22,21,24,44,14,14,34.85930752,6.163836306,120.7143424,orange
134,44,20,5,115,27,25.10583593,7.174146453,82.76774073,cotton
119,32,30,26,5,2,25.6265954,7.068360476,146.9129848,coffee
5,15,35,24,8,4,26.03358239,7.322288906,195.0564432,rice
84,52,15,29,59,22,24.30177217,8.018314319,95.8011843,maize
30,71,83,12,4,38,18.34543211,6.103906362,67.49252902,chickpea
14,74,18,9,14,59,27.19847513,5.90803294,48.42341592,lentil
77,22,40,20,5,5,25.52251396,7.521942066,97.14741029,pomegranate
90,92,49,39,48,16,29.50650145,6.3289365,131.0124703,banana
17,36,20,8,54,61,36.76849776,6.275094419,83.74766585,mango
3,141,196,43,38,44,23.15616652,5.737107736,72.58337074,grapes
31,129,201,42,71,36,22.57659555,6.688914529,114.4333802,apple
103,8,13,42,15,15,23.38836444,6.005594273,116.0621458,orange
134,45,21,3,112,30,23.73817053,8.739547781,67.24394731,cotton
117,29,23,59,5,4,27.03440978,7.752334592,98.25860038,coffee
97,20,41,23,1,1,20.16467912,7.097783685,177.2459597,rice
99,41,13,21,74,32,20.65027602,6.091146149,96.44217987,maize
53,78,83,12,10,34,17.46312773,8.599303883,91.05842743,chickpea
28,75,25,8,9,63,27.47108145,7.354982902,43.92255566,lentil
11,20,40,27,4,1,19.94935295,7.965390281,106.5655726,pomegranate
103,77,47,44,67,15,28.20715104,6.515218181,106.6897006,banana
9,43,44,57,50,76,28.98402168,5.699002338,98.52514169,mango
29,143,201,49,34,44,33.55344956,7.024334861,67.99248752,grapes
22,141,202,48,82,32,25.92579711,6.476053606,111.2256706,apple
64,31,12,25,8,38,20.23130987,7.706865981,98.52754495,orange
110,38,22,3,85,28,26.5273882,7.693786432,76.75545191,cotton
115,27,16,20,6,4,27.97046435,7.045639691,116.1360423,coffee
83,49,27,25,60,63,29.59245836,5.958472476,102.187915,rice
90,64,18,26,59,27,26.92522609,6.247022847,89.44925166,maize
42,68,82,8,5,25,18.22718599,5.966175955,94.92368671,chickpea
4,78,22,11,6,54,29.67519845,7.125269908,36.89034141,lentil
100,15,29,23,2,8,25.90515281,6.159263825,99.46547794,pomegranate
90,95,55,37,51,16,27.87294732,6.96685547,120.9432947,banana
29,27,25,57,59,67,37.07588067,7.299117399,86.57120705,mango
22,141,200,45,50,40,22.50871395,7.443138716,67.58339168,grapes
34,125,204,52,123,29,23.65612486,5.903809667,124.3457924,apple
23,18,13,33,14,10,9.458508075,7.415191065,100.4203462,orange
112,40,21,2,94,27,23.31173739,8.457098955,85.06581561,cotton
63,25,49,51,8,5,27.92462804,7.637732438,188.0742852,coffee
93,23,24,22,4,3,22.92757318,7.401336591,114.3023207,rice
87,45,16,34,71,30,20.37129715,8.003815615,94.66244695,maize
16,71,78,12,10,39,18.39827372,7.838422015,89.30443126,chickpea
26,87,76,10,9,44,23.43796357,7.969925805,39.77375671,lentil
98,7,42,29,5,1,21.94037399,7.125524247,115.2720307,pomegranate
81,88,53,36,71,17,28.06775475,7.286645479,100.6724149,banana
13,54,26,40,6,45,31.75279806,6.011598882,100.4322946,mango
28,141,199,26,50,45,34.60582088,6.285089874,69.53873731,grapes
2,124,201,45,113,47,23.51860458,6.650424879,69.15875819,apple
27,17,27,29,15,15,33.30129837,7.411205456,104.3964735,orange
130,37,22,2,100,33,26.54452542,7.0425239,66.07317846,cotton
109,44,18,19,5,1,25.53792273,9.290482492,114.0831401,coffee
97,22,35,23,2,2,17.24986876,7.030904701,204.9199106,rice
88,52,16,20,75,19,28.54477061,6.956441107,96.81477475,maize
34,71,83,12,12,27,18.3039599,8.683120337,69.86848255,chickpea
35,64,21,9,3,48,25.67239196,7.691612743,48.66100295,lentil
21,19,28,21,2,3,24.11770691,6.082801589,111.7692999,pomegranate
116,83,53,43,48,18,29.02149059,7.040705937,115.7581086,banana
28,40,39,60,53,66,36.50219921,5.099580507,96.7975927,mango
86,127,201,37,59,28,25.63122822,6.266602862,66.96186423,grapes
6,128,202,32,79,34,22.90408265,7.121422722,109.9929083,apple
35,25,13,31,11,12,23.19743839,5.972016897,109.7498423,orange
113,44,15,3,101,35,26.12535054,6.242839618,63.62273601,cotton
65,37,23,24,4,3,27.91303877,5.844554202,149.2721969,coffee
4,47,39,22,8,1,20.91475285,7.234579917,109.9952953,rice
97,55,23,20,76,39,26.18815913,6.113616202,84.43820379,maize
50,73,79,11,12,33,18.03654645,6.086592022,72.64120033,chickpea
3,79,18,13,16,54,25.97027994,7.352979101,42.5804543,lentil
38,19,40,23,1,4,22.4562785,7.398775058,108.206699,pomegranate
118,79,55,42,55,18,29.78048575,6.736243206,108.1598252,banana
36,50,30,48,75,73,22.22649355,7.059895034,98.2178196,mango
40,138,197,34,32,42,29.45395595,5.9879026,70.10499055,grapes
16,133,202,31,53,42,22.65153259,6.610984363,132.0820435,apple
14,5,8,46,9,14,18.46112433,6.454473103,103.3395301,orange
117,42,16,5,107,29,23.16359697,8.582582432,83.45158799,cotton
80,43,21,23,11,6,23.58824938,8.809038516,184.9376128,coffee
11,10,6,7,17,60,17.52101234,7.334846758,112.7359091,rice
81,60,14,34,78,45,26.17471253,7.718726192,69.85687974,maize
55,70,76,7,11,36,20.95351749,8.741978697,65.55612543,chickpea
43,83,27,12,7,34,24.09355091,6.320298724,48.63204364,lentil
96,17,29,21,5,3,20.14715882,7.84926571,109.4179431,pomegranate
111,90,51,22,67,18,29.55575298,7.208852987,113.9960345,banana
39,34,22,51,55,79,31.85691764,5.419730348,96.06792456,mango
30,139,198,32,38,43,23.59883453,7.66254469,70.0881083,grapes
6,127,201,35,93,26,23.19293693,7.351639443,109.0076478,apple
11,5,10,35,11,12,13.51433847,7.785378828,96.54993797,orange
113,42,37,4,99,32,28.29384499,8.006904448,76.14261394,cotton
21,30,27,24,2,6,28.83723753,6.002740193,141.2876913,coffee
27,56,38,25,8,10,27.68521807,6.097356897,236.6107525,rice
83,57,26,29,87,30,22.66599003,7.77195507,95.31498733,maize
35,67,80,8,11,30,17.40506362,8.389466581,63.67576216,chickpea
39,79,21,9,8,64,26.3933717,6.270897205,51.30224131,lentil
10,9,42,27,3,3,21.87213622,6.463573885,128.1340336,pomegranate
27,145,29,36,59,15,25.65986454,6.243886324,194.4073004,banana
33,36,32,30,51,80,33.44474049,7.425561618,89.60443024,mango
35,136,200,30,35,27,36.0065122,5.90318755,72.27306506,grapes
8,135,199,38,81,31,22.57719667,6.253297751,103.7132082,apple
11,28,34,28,13,13,18.31416463,6.104723481,167.4350876,orange
134,39,20,5,104,31,25.95862619,7.600054833,67.42839438,cotton
80,40,22,49,1,50,32.32181847,6.282831819,185.1823542,coffee
104,19,52,18,4,3,22.86096892,8.195992712,218.7098958,rice
63,58,16,27,82,35,23.18321497,7.631128838,83.37180536,maize
48,77,83,12,12,35,18.45092164,6.841329012,94.54853819,chickpea
13,80,24,10,10,42,28.01440703,9.033040957,44.78109426,lentil
34,12,35,26,2,1,19.77898936,7.875498442,109.1163712,pomegranate
